,i
S7 1955,2
.W75 1915,2
.T75 1967,2
A271 1913,2
I5 1871,2
A3 1906,2
.R179 1795,2
.T895 1895,2
L54 1887,2
.F379 1928,2
J64 1895,2
.B44 1873,2
.M6749 1878b suppl.,2
.P375 1916,2
A2 1903,2
R44 1913,2
.J67 1929,2
N49 1888,2
.S53878 1912,2
S692 1945,2
.A95 1952,2
W66 1963 c.1,2
H67 1914,2
.N5808 1901 c.1,2
F674 1900,2
.T78 1892,2
.S45 1907,2
T6 1911,2
A3 1858,2
A3 1867a,2
B78 1957,2
Atlas (42)1908,2
I57 1931,2
.F6 1974,2
Atlas (15)1877,2
.I7 1809,2
.M86 1986,2
S33 1845,2
B36 1865,2
G4 1853,2
H86 1818,2
M64 2002,2
A286 1934,2
.N82 no.235-238,2
H26 1799,2
.S25 1885,2
.N49 1915,2
A4 1931,2
.P35 1881,2
S35 1928,2
.M88 1824,2
H86 1955,2
.G3 1962,2
Atlas (40)1909,2
C5 1871,2
G7 1969,2
.N58 1852,2
B7 1969,2
B56 1898,2
B37 1935,2
S74 1990,2
R45 1950,2
.R7 1970,2
.R48 1859,2
M37 1969,2
W37 1908,2
A5 1901,2
.A53 1791,2
.K56 1908,2
.S625 1958,2
.J64 1903,2
Atlas (13)1877,2
.K75,2
B8 1896,2
D43 1917,2
B73 1904,2
.B745 1966,2
.C444 1879,2
.B76 1877 c.2,2
1876,2
Atlas (35a)1904,2
G7 1967,2
Atlas (26)1889,2
.T451 1810,2
I57 1908,2
R47 1849,2
I58 1897,2
D74 1991,2
H35 1965,2
N58 1979b,2
.S233 1960z,2
R44 1956,2
.H45 1940,2
.A4 1960,2
Atlas (2)1855,2
J33 1985,2
.A547 1971,2
.S73759 1955,2
A53 1916,2
.B36 1901,2
G7 1947,2
.E1786 1901 c.1,2
S76 1900,2
.M6778 1903,2
F57 1925,2
P3 1908,2
.T78 1881,2
Atlas (31)1898,2
.N696 1904,2
T7 1965,2
.B744 1834,2
.B44 1858,2
A278 1930,2
S35 1897,2
A213 1947,2
A3 1902 c.2,2
A73 1900z,2
.B76 1900h,2
.A6 1940,2
.N49 1865,2
B7 1881,2
.A93 1914b,2
I53 1906,2
H55 1921,2
S75 1892,2
.P88 1870,2
H2 1911,2
A5 1883,2
