,j
PAMP SeaverN-1,1
B P-[187-?]a.Fl,1
B A-1856.Fl,1
1974.049,1
PAMP Portrait-1,1
L.I.-[1873]k.Fl,1
B A-1885a.Fl,1
2000.018,1
PAMP MannH-3,1
1977.448,1
Rev. War-1793 (19--?).Fl,1
PAMP FooteHS-1,1
"D.P.W.-1:24,000 (Howell Point Quad).R",1
PAMP ASCFPC-5,1
2006.032,1
L.I.-1914.Fd.RA,1
1974.184,1
B A-1969.Fl,1
ARC.038,1
1977.188,1
2015.023,1
PAMP IngersollC-1,1
1977.607,1
1978.010,1
B A-1867a.Fl,1
ARC.226,1
PAMP Fugitt-2,1
PAMP Lincoln-1,1
1980.010,1
B A-1888.Fl c.2,1
PAMP AfCS-1,1
B A-[19--?]b.Fl,1
1974.151,1
V1991.075,1
1977.594,1
1977.271,1
1978.092,1
"USGS-1:24,000 (Central Islip).Fl",1
ARC.122,1
Rev. War-1776 (1964)a.Fl,1
L.I.-1916.Fl,1
Bergen-1894.Fl,1
NYS-1797 (1847)c.Fl,1
PAMP American-1,1
B P-[1838]b.Fl,1
ARC.241,1
B A-1833.Fl,1
PAMP Monroe-1,1
1974.232,1
2005.002,1
1978.126,1
1978.169,1
Rev. War [1776]b.Fl,1
1973.259,1
1974.233,1
1974.075,1
B A-1858.Fl,1
"D.P.W.-1:24,000 (Coney Island Quad).R",1
(107.5)b World-1486-1606 (1992?).A,1
PAMP Cox-1,1
IPOF E441.P96 2006,1
PAMP ASCFPC-13,1
PAMP Agnew-1,1
M-1803 (1856).Fl,1
"USGS-1:62,5000 (Ellenville).Fl",1
Rev. War-1776 (18--?).Fl,1
1977.621,1
ARC.193,1
1977.524,1
NYS-[19--?].Fl,1
V1989.028,1
M-1656-1728 (18--?)a.Fl,1
PAMP Frossard-2,1
PAMP Carpenter-1,1
B C-2010.Fl,1
PAMP Armistead-1,1
Microfilm Reel 1-3,1
1977.479,1
1973.246,1
PAMP ASCFPC-11,1
PAMP Disney-1,1
1986.046,1
1992.031,1
V1991.136,1
1973.117,1
1977.092,1
PAMP SpearST-4,1
PAMP SpearST-6,1
B A-2007.Fl,1
PAMP ThompsonJB-1,1
Luquer-1864.Fl,1
1978.166,1
1977.443,1
1977.077,1
1978.045,1
B A-1846a.Fl c.2,1
B B-[1940].Fl,1
Bergen-1854a.Fl,1
B A-[195-?]c.Fl,1
PAMP NEYMF-1,1
1977.230,1
Bergen-[185-?]g.Fl,1
1974.253,1
PAMP Savoury-1,1
V1990.055,1
PAMP NEASC-1,1
B A-[182-?].Fl,1
1977.495,1
B P-1852.Fl,1
B P-[1873].A.RA,1
V1987.007,1
NYC-1937.Fl,1
V1990.016,1
U.S.C.S.-366(1909).Fl,1
PAMP Douglas-1,1
Q-[1869?].Fl,1
PAMP Three-1,1
1977.663,1
1978.121,1
Lefferts DA447.E9 A32,1
B P-[1856].Fl,1
Rev. War-1776 (18--?)b.Fl,1
N.E.-1849.Fl,1
Q-[1873]p.Fl,1
1973.249,1
2000.011,1
(108) World-17th Century (2011).A v.1,1
PAMP ASCFPC-2,1
PAMP Etheridge-1,1
L.I.-[1930?].Fl,1
1974.176,1
B P-1897a.Fl,1
1985.089,1
1992.001,1
Lefferts BS185 1894.N4,1
(86) L.I.-1917.A v.1,1
B A-1875.Fl,1
PAMP Stringfellow-1,1
Bergen-[1851?].Fl,1
NYC-1860a.Fd.Folio,1
